U1	IA	Tact	U2	UH
0,02	0,00	181	2,0	6,3
0,04	0,00	181	2,0	6,3
0,07	0,00	181	2,0	6,3
0,09	0,00	181	2,0	6,3
0,12	0,00	181	2,0	6,3
0,14	0,00	181	2,0	6,3
0,17	0,00	181	2,0	6,3
0,19	0,00	181	2,0	6,3
0,21	0,00	181	2,0	6,3
0,24	0,00	181	2,0	6,3
0,26	0,00	181	2,0	6,3
0,29	0,00	180	2,0	6,3
0,31	0,00	181	2,0	6,3
0,34	0,00	181	2,0	6,3
0,36	0,00	181	2,0	6,3
0,39	0,00	181	2,0	6,3
0,41	0,00	181	2,0	6,3
0,43	0,00	181	2,0	6,3
0,46	0,00	181	2,0	6,3
0,48	0,00	181	2,0	6,3
0,51	0,00	181	2,0	6,3
0,53	0,00	180	2,0	6,3
0,56	0,00	180	2,0	6,3
0,58	0,00	181	2,0	6,3
0,61	0,00	181	2,0	6,3
0,63	0,00	181	2,0	6,3
0,65	0,00	181	2,0	6,3
0,68	0,00	181	2,0	6,3
0,70	0,00	180	2,0	6,3
0,73	0,00	181	2,0	6,3
0,75	0,00	181	2,0	6,3
0,78	0,00	181	2,0	6,3
0,80	0,00	180	2,0	6,3
0,83	0,00	181	2,0	6,3
0,85	0,00	181	2,0	6,3
0,87	0,00	181	2,0	6,3
0,90	0,00	181	2,0	6,3
0,92	0,00	181	2,0	6,3
0,95	0,00	181	2,0	6,3
0,97	0,00	181	2,0	6,3
1,00	0,00	181	2,0	6,3
1,02	0,00	181	2,0	6,3
1,05	0,00	181	2,0	6,3
1,07	0,00	181	2,0	6,3
1,09	0,00	181	2,0	6,3
1,12	0,00	181	2,0	6,3
1,14	0,00	181	2,0	6,3
1,17	0,00	181	2,0	6,3
1,19	0,00	181	2,0	6,3
1,22	0,00	180	2,0	6,3
1,24	0,00	181	2,0	6,3
1,26	0,00	181	2,0	6,3
1,29	0,00	180	2,0	6,3
1,31	0,00	181	2,0	6,3
1,34	0,00	181	2,0	6,3
1,36	0,00	181	2,0	6,3
1,39	0,00	181	2,0	6,3
1,41	0,00	181	2,0	6,3
1,44	0,00	181	2,0	6,3
1,46	0,00	181	2,0	6,3
1,48	0,00	181	2,0	6,3
1,51	0,00	180	2,0	6,3
1,53	0,00	181	2,0	6,3
1,56	0,00	181	2,0	6,3
1,58	0,00	180	2,0	6,3
1,61	0,00	181	2,0	6,3
1,63	0,00	181	2,0	6,3
1,66	0,00	180	2,0	6,3
1,68	0,00	181	2,0	6,3
1,70	0,00	181	2,0	6,3
1,73	0,00	181	2,0	6,3
1,75	0,00	181	2,0	6,3
1,78	0,00	181	2,0	6,3
1,80	0,00	181	2,0	6,3
1,83	0,00	181	2,0	6,3
1,85	0,00	181	2,0	6,3
1,88	0,00	181	2,0	6,3
1,90	0,00	181	2,0	6,3
1,92	0,00	181	2,0	6,3
1,95	0,00	181	2,0	6,3
1,97	0,00	181	2,0	6,3
2,00	0,00	181	2,0	6,3
2,02	0,00	181	2,0	6,3
2,05	0,00	181	2,0	6,3
2,07	0,00	181	2,0	6,3
2,10	0,00	181	2,0	6,3
2,12	0,00	181	2,0	6,3
2,14	0,00	181	2,0	6,3
2,17	0,00	181	2,0	6,3
2,19	0,00	181	2,0	6,3
2,22	0,00	181	2,0	6,3
2,24	0,00	181	2,0	6,3
2,27	0,00	181	2,0	6,3
2,29	0,00	181	2,0	6,3
2,31	0,00	181	2,0	6,3
2,34	0,00	181	2,0	6,3
2,36	0,00	181	2,0	6,3
2,39	0,00	181	2,0	6,3
2,41	0,00	181	2,0	6,3
2,44	0,00	181	2,0	6,3
2,46	0,00	181	2,0	6,3
2,49	0,00	181	2,0	6,3
2,51	0,00	181	2,0	6,3
2,53	0,00	181	2,0	6,3
2,56	0,00	180	2,0	6,3
2,58	0,00	180	2,0	6,3
2,61	0,00	180	2,0	6,3
2,63	0,00	180	2,0	6,3
2,66	0,00	180	2,0	6,3
2,68	0,00	180	2,0	6,3
2,71	0,00	180	2,0	6,3
2,73	0,00	180	2,0	6,3
2,75	0,00	180	2,0	6,3
2,78	0,00	180	2,0	6,3
2,80	0,00	180	2,0	6,3
2,83	0,00	180	2,0	6,3
2,85	0,00	180	2,0	6,3
2,88	0,00	180	2,0	6,3
2,90	0,00	180	2,0	6,3
2,93	0,00	180	2,0	6,3
2,95	0,00	180	2,0	6,3
2,97	0,00	181	2,0	6,3
3,00	0,00	181	2,0	6,3
3,02	0,00	181	2,0	6,3
3,05	0,00	181	2,0	6,3
3,07	0,00	181	2,0	6,3
3,10	0,00	181	2,0	6,3
3,12	0,00	181	2,0	6,3
3,15	0,00	181	2,0	6,3
3,17	0,00	181	2,0	6,3
3,19	0,00	181	2,0	6,3
3,22	0,00	181	2,0	6,3
3,24	0,00	181	2,0	6,3
3,27	0,00	181	2,0	6,3
3,29	0,00	181	2,0	6,3
3,32	0,00	181	2,0	6,3
3,34	0,00	181	2,0	6,3
3,36	0,00	181	2,0	6,3
3,39	0,00	181	2,0	6,3
3,41	0,00	180	2,0	6,3
3,44	0,00	180	2,0	6,3
3,46	0,00	180	2,0	6,3
3,49	0,00	180	2,0	6,3
3,51	0,00	180	2,0	6,3
3,54	0,00	180	2,0	6,3
3,56	0,00	180	2,0	6,3
3,58	0,00	180	2,0	6,3
3,61	0,00	180	2,0	6,3
3,63	0,00	180	2,0	6,3
3,66	0,00	180	2,0	6,3
3,68	0,00	180	2,0	6,3
3,71	0,00	180	2,0	6,3
3,73	0,00	180	2,0	6,3
3,76	0,00	180	2,0	6,3
3,78	0,00	180	2,0	6,3
3,80	0,00	180	2,0	6,3
3,83	0,00	181	2,0	6,3
3,85	0,00	181	2,0	6,3
3,88	0,00	181	2,0	6,3
3,90	0,00	181	2,0	6,3
3,93	0,00	181	2,0	6,3
3,95	0,00	181	2,0	6,3
3,98	0,00	181	2,0	6,3
4,00	0,00	181	2,0	6,3
4,02	0,00	181	2,0	6,3
4,05	0,00	180	2,0	6,3
4,07	0,00	181	2,0	6,3
4,10	0,00	181	2,0	6,3
4,12	0,00	181	2,0	6,3
4,15	0,00	181	2,0	6,3
4,17	0,00	181	2,0	6,3
4,20	0,00	180	2,0	6,3
4,22	0,00	181	2,0	6,3
4,24	0,00	181	2,0	6,3
4,27	0,00	180	2,0	6,3
4,29	0,00	180	2,0	6,3
4,32	0,00	180	2,0	6,3
4,34	0,00	180	2,0	6,3
4,37	0,00	180	2,0	6,3
4,39	0,00	180	2,0	6,3
4,42	0,00	180	2,0	6,3
4,44	0,00	180	2,0	6,3
4,46	0,00	180	2,0	6,3
4,49	0,00	180	2,0	6,3
4,51	0,00	180	2,0	6,3
4,54	0,00	180	2,0	6,3
4,56	0,00	180	2,0	6,3
4,59	0,00	180	2,0	6,3
4,61	0,00	180	2,0	6,3
4,63	0,00	180	2,0	6,3
4,66	0,00	180	2,0	6,3
4,68	0,00	181	2,0	6,3
4,71	0,00	181	2,0	6,3
4,73	0,00	181	2,0	6,3
4,76	0,00	181	2,0	6,3
4,78	0,00	181	2,0	6,3
4,81	0,00	181	2,0	6,3
4,83	0,00	181	2,0	6,3
4,85	0,00	181	2,0	6,3
4,88	0,00	181	2,0	6,3
4,90	0,00	181	2,0	6,3
4,93	0,00	181	2,0	6,3
4,95	0,00	181	2,0	6,3
4,98	0,00	181	2,0	6,3
5,00	0,00	181	2,0	6,3
5,03	0,00	181	2,0	6,3
5,05	0,00	181	2,0	6,3
5,07	0,00	181	2,0	6,3
5,10	0,00	181	2,0	6,3
5,12	0,00	181	2,0	6,3
5,15	0,00	181	2,0	6,3
5,17	0,00	181	2,0	6,3
5,20	0,00	181	2,0	6,3
5,22	0,00	181	2,0	6,3
5,25	0,00	181	2,0	6,3
5,27	0,00	180	2,0	6,3
5,29	0,00	181	2,0	6,3
5,32	0,00	181	2,0	6,3
5,34	0,00	181	2,0	6,3
5,37	0,00	181	2,0	6,3
5,39	0,00	181	2,0	6,3
5,42	0,00	181	2,0	6,3
5,44	0,00	181	2,0	6,3
5,47	0,00	181	2,0	6,3
5,49	0,00	181	2,0	6,3
5,51	0,00	180	2,0	6,3
5,54	0,00	181	2,0	6,3
5,56	0,00	181	2,0	6,3
5,59	0,00	181	2,0	6,3
5,61	0,00	180	2,0	6,3
5,64	0,00	181	2,0	6,3
5,66	0,00	181	2,0	6,3
5,68	0,00	181	2,0	6,3
5,71	0,00	181	2,0	6,3
5,73	0,00	181	2,0	6,3
5,76	0,00	181	2,0	6,3
5,78	0,00	180	2,0	6,3
5,81	0,00	181	2,0	6,3
5,83	0,00	181	2,0	6,3
5,86	0,00	181	2,0	6,3
5,88	0,00	181	2,0	6,3
5,90	0,00	181	2,0	6,3
5,93	0,00	181	2,0	6,3
5,95	0,00	181	2,0	6,3
5,98	0,00	181	2,0	6,3
6,00	0,00	181	2,0	6,3
6,03	0,00	181	2,0	6,3
6,05	0,00	181	2,0	6,3
6,08	0,00	181	2,0	6,3
6,10	0,00	181	2,0	6,3
6,12	0,00	181	2,0	6,3
6,15	0,00	181	2,0	6,3
6,17	0,00	181	2,0	6,3
6,20	0,00	180	2,0	6,3
6,22	0,00	181	2,0	6,3
6,25	0,00	181	2,0	6,3
6,27	0,00	181	2,0	6,3
6,30	0,00	181	2,0	6,3
6,32	0,00	181	2,0	6,3
6,34	0,00	181	2,0	6,3
6,37	0,00	181	2,0	6,3
6,39	0,00	181	2,0	6,3
6,42	0,00	181	2,0	6,3
6,44	0,00	181	2,0	6,3
6,47	0,00	181	2,0	6,3
6,49	0,00	181	2,0	6,3
6,52	0,00	181	2,0	6,3
6,54	0,00	181	2,0	6,3
6,56	0,00	181	2,0	6,3
6,59	0,00	181	2,0	6,3
6,61	0,00	181	2,0	6,3
6,64	0,00	181	2,0	6,3
6,66	0,00	181	2,0	6,3
6,69	0,00	181	2,0	6,3
6,71	0,00	181	2,0	6,3
6,73	0,00	181	2,0	6,3
6,76	0,00	181	2,0	6,3
6,78	0,00	181	2,0	6,3
6,81	0,00	181	2,0	6,3
6,83	0,00	181	2,0	6,3
6,86	0,00	181	2,0	6,3
6,88	0,00	181	2,0	6,3
6,91	0,00	181	2,0	6,3
6,93	0,00	181	2,0	6,3
6,95	0,00	181	2,0	6,3
6,98	0,00	181	2,0	6,3
7,00	0,01	181	2,0	6,3
7,03	0,01	181	2,0	6,3
7,05	0,01	181	2,0	6,3
7,08	0,01	181	2,0	6,3
7,10	0,01	181	2,0	6,3
7,13	0,00	181	2,0	6,3
7,15	0,00	181	2,0	6,3
7,17	0,00	181	2,0	6,3
7,20	0,00	181	2,0	6,3
7,22	0,00	181	2,0	6,3
7,25	0,01	181	2,0	6,3
7,27	0,01	181	2,0	6,3
7,30	0,01	181	2,0	6,3
7,32	0,01	181	2,0	6,3
7,35	0,01	181	2,0	6,3
7,37	0,00	181	2,0	6,3
7,39	0,00	181	2,0	6,3
7,42	0,00	181	2,0	6,3
7,44	0,00	181	2,0	6,3
7,47	0,00	181	2,0	6,3
7,49	0,00	181	2,0	6,3
7,52	0,00	181	2,0	6,3
7,54	0,00	181	2,0	6,3
7,57	0,01	181	2,0	6,3
7,59	0,01	181	2,0	6,3
7,61	0,01	181	2,0	6,3
7,64	0,01	181	2,0	6,3
7,66	0,01	181	2,0	6,3
7,69	0,00	181	2,0	6,3
7,71	0,00	181	2,0	6,3
7,74	0,00	180	2,0	6,3
7,76	0,00	181	2,0	6,3
7,78	0,00	181	2,0	6,3
7,81	0,00	180	2,0	6,3
7,83	0,00	181	2,0	6,3
7,86	0,02	181	2,0	6,3
7,88	0,02	181	2,0	6,3
7,91	0,03	181	2,0	6,3
7,93	0,03	181	2,0	6,3
7,96	0,03	181	2,0	6,3
7,98	0,01	181	2,0	6,3
8,00	0,01	181	2,0	6,3
8,03	0,00	181	2,0	6,3
8,05	0,00	180	2,0	6,3
8,08	0,00	180	2,0	6,3
8,10	0,02	180	2,0	6,3
8,13	0,02	180	2,0	6,3
8,15	0,02	180	2,0	6,3
8,18	0,03	180	2,0	6,3
8,20	0,03	180	2,0	6,3
8,22	0,01	180	2,0	6,3
8,25	0,01	180	2,0	6,3
8,27	0,01	180	2,0	6,3
8,30	0,00	180	2,0	6,3
8,32	0,00	180	2,0	6,3
8,35	0,00	180	2,0	6,3
8,37	0,00	180	2,0	6,3
8,40	0,00	180	2,0	6,3
8,42	0,00	180	2,0	6,3
8,44	0,00	180	2,0	6,3
8,47	0,00	180	2,0	6,3
8,49	0,00	180	2,0	6,3
8,52	0,00	180	2,0	6,3
8,54	0,00	180	2,0	6,3
8,57	0,00	180	2,0	6,3
8,59	0,00	180	2,0	6,3
8,62	0,00	180	2,0	6,3
8,64	0,00	180	2,0	6,3
8,66	0,00	180	2,0	6,3
8,69	0,00	180	2,0	6,3
8,71	0,02	180	2,0	6,3
8,74	0,02	180	2,0	6,3
8,76	0,02	180	2,0	6,3
8,79	0,02	180	2,0	6,3
8,81	0,02	180	2,0	6,3
8,84	0,00	180	2,0	6,3
8,86	0,00	180	2,0	6,3
8,88	0,00	180	2,0	6,3
8,91	0,00	180	2,0	6,3
8,93	0,00	180	2,0	6,3
8,96	0,00	181	2,0	6,3
8,98	0,00	181	2,0	6,3
9,01	0,00	181	2,0	6,3
9,03	0,00	181	2,0	6,3
9,05	0,00	181	2,0	6,3
9,08	0,00	181	2,0	6,3
9,10	0,00	181	2,0	6,3
9,13	0,00	181	2,0	6,3
9,15	0,00	181	2,0	6,3
9,18	0,00	181	2,0	6,3
9,20	0,00	181	2,0	6,3
9,23	0,00	181	2,0	6,3
9,25	0,00	181	2,0	6,3
9,27	0,00	181	2,0	6,3
9,30	0,00	181	2,0	6,3
9,32	0,00	181	2,0	6,3
9,35	0,00	181	2,0	6,3
9,37	0,00	181	2,0	6,3
9,40	0,00	181	2,0	6,3
9,42	0,00	181	2,0	6,3
9,45	0,00	181	2,0	6,3
9,47	0,00	181	2,0	6,3
9,49	0,00	180	2,0	6,3
9,52	0,00	180	2,0	6,3
9,54	0,00	181	2,0	6,3
9,57	0,00	181	2,0	6,3
9,59	0,00	181	2,0	6,3
9,62	0,00	181	2,0	6,3
9,64	0,00	181	2,0	6,3
9,67	0,00	181	2,0	6,3
9,69	0,00	181	2,0	6,3
9,71	0,00	181	2,0	6,3
9,74	0,00	181	2,0	6,3
9,76	0,00	180	2,0	6,3
9,79	0,00	181	2,0	6,3
9,81	0,01	181	2,0	6,3
9,84	0,01	181	2,0	6,3
9,86	0,01	181	2,0	6,3
9,89	0,01	181	2,0	6,3
9,91	0,01	181	2,0	6,3
9,93	0,00	181	2,0	6,3
9,96	0,00	181	2,0	6,3
9,98	0,00	181	2,0	6,3
10,01	0,00	181	2,0	6,3
10,03	0,00	181	2,0	6,3
10,06	0,00	181	2,0	6,3
10,08	0,00	181	2,0	6,3
10,10	0,00	181	2,0	6,3
10,13	0,00	181	2,0	6,3
10,15	0,00	181	2,0	6,3
10,18	0,00	181	2,0	6,3
10,20	0,00	181	2,0	6,3
10,23	0,00	181	2,0	6,3
10,25	0,00	181	2,0	6,3
10,28	0,00	181	2,0	6,3
10,30	0,00	181	2,0	6,3
10,32	0,00	181	2,0	6,3
10,35	0,00	181	2,0	6,3
10,37	0,00	181	2,0	6,3
10,40	0,00	181	2,0	6,3
10,42	0,00	181	2,0	6,3
10,45	0,01	181	2,0	6,3
10,47	0,02	181	2,0	6,3
10,50	0,03	181	2,0	6,3
10,52	0,03	181	2,0	6,3
10,54	0,04	181	2,0	6,3
10,57	0,04	181	2,0	6,3
10,59	0,03	181	2,0	6,3
10,62	0,03	181	2,0	6,3
10,64	0,04	181	2,0	6,3
10,67	0,08	181	2,0	6,3
10,69	0,08	181	2,0	6,3
10,72	0,10	181	2,0	6,3
10,74	0,14	181	2,0	6,3
10,76	0,14	180	2,0	6,3
10,79	0,12	181	2,0	6,3
10,81	0,14	181	2,0	6,3
10,84	0,15	181	2,0	6,3
10,86	0,13	181	2,0	6,3
10,89	0,15	180	2,0	6,3
10,91	0,16	181	2,0	6,3
10,94	0,15	180	2,0	6,3
10,96	0,16	181	2,0	6,3
10,98	0,19	181	2,0	6,3
11,01	0,20	181	2,0	6,3
11,03	0,20	181	2,0	6,3
11,06	0,22	181	2,0	6,3
11,08	0,23	181	2,0	6,3
11,11	0,24	181	2,0	6,3
11,13	0,25	181	2,0	6,3
11,15	0,23	181	2,0	6,3
11,18	0,25	181	2,0	6,3
11,20	0,26	181	2,0	6,3
11,23	0,25	181	2,0	6,3
11,25	0,27	181	2,0	6,3
11,28	0,32	181	2,0	6,3
11,30	0,33	181	2,0	6,3
11,33	0,34	180	2,0	6,3
11,35	0,37	181	2,0	6,3
11,37	0,38	180	2,0	6,3
11,40	0,39	181	2,0	6,3
11,42	0,41	181	2,0	6,3
11,45	0,42	180	2,0	6,3
11,47	0,43	181	2,0	6,3
11,50	0,44	181	2,0	6,3
11,52	0,47	181	2,0	6,3
11,55	0,49	181	2,0	6,3
11,57	0,50	181	2,0	6,3
11,59	0,54	181	2,0	6,3
11,62	0,56	181	2,0	6,3
11,64	0,56	181	2,0	6,3
11,67	0,57	181	2,0	6,3
11,69	0,58	181	2,0	6,3
11,72	0,58	181	2,0	6,3
11,74	0,59	181	2,0	6,3
11,77	0,59	181	2,0	6,3
11,79	0,60	181	2,0	6,3
11,81	0,61	181	2,0	6,3
11,84	0,64	181	2,0	6,3
11,86	0,65	181	2,0	6,3
11,89	0,66	181	2,0	6,3
11,91	0,68	181	2,0	6,3
11,94	0,69	181	2,0	6,3
11,96	0,69	181	2,0	6,3
11,99	0,70	181	2,0	6,3
12,01	0,70	181	2,0	6,3
12,03	0,70	181	2,0	6,3
12,06	0,71	181	2,0	6,3
12,08	0,68	181	2,0	6,3
12,11	0,68	181	2,0	6,3
12,13	0,69	181	2,0	6,3
12,16	0,70	181	2,0	6,3
12,18	0,70	181	2,0	6,3
12,21	0,72	181	2,0	6,3
12,23	0,73	181	2,0	6,3
12,25	0,73	181	2,0	6,3
12,28	0,72	181	2,0	6,3
12,30	0,71	181	2,0	6,3
12,33	0,69	181	2,0	6,3
12,35	0,68	181	2,0	6,3
12,38	0,69	181	2,0	6,3
12,40	0,67	180	2,0	6,3
12,42	0,67	181	2,0	6,3
12,45	0,69	181	2,0	6,3
12,47	0,69	181	2,0	6,3
12,50	0,66	181	2,0	6,3
12,52	0,64	181	2,0	6,3
12,55	0,63	181	2,0	6,3
12,57	0,60	181	2,0	6,3
12,60	0,58	181	2,0	6,3
12,62	0,58	181	2,0	6,3
12,64	0,55	181	2,0	6,3
12,67	0,53	181	2,0	6,3
12,69	0,53	181	2,0	6,3
12,72	0,52	181	2,0	6,3
12,74	0,50	181	2,0	6,3
12,77	0,51	181	2,0	6,3
12,79	0,50	181	2,0	6,3
12,82	0,46	181	2,0	6,3
12,84	0,44	181	2,0	6,3
12,86	0,42	181	2,0	6,3
12,89	0,40	181	2,0	6,3
12,91	0,39	181	2,0	6,3
12,94	0,36	181	2,0	6,3
12,96	0,35	181	2,0	6,3
12,99	0,34	181	2,0	6,3
13,01	0,33	181	2,0	6,3
13,04	0,31	181	2,0	6,3
13,06	0,33	181	2,0	6,3
13,08	0,32	181	2,0	6,3
13,11	0,31	181	2,0	6,3
13,13	0,29	181	2,0	6,3
13,16	0,27	181	2,0	6,3
13,18	0,23	181	2,0	6,3
13,21	0,22	181	2,0	6,3
13,23	0,21	181	2,0	6,3
13,26	0,19	181	2,0	6,3
13,28	0,18	181	2,0	6,3
13,30	0,22	181	2,0	6,3
13,33	0,21	181	2,0	6,3
13,35	0,19	181	2,0	6,3
13,38	0,20	181	2,0	6,3
13,40	0,20	181	2,0	6,3
13,43	0,15	181	2,0	6,3
13,45	0,14	181	2,0	6,3
13,47	0,13	181	2,0	6,3
13,50	0,11	181	2,0	6,3
13,52	0,10	181	2,0	6,3
13,55	0,11	181	2,0	6,3
13,57	0,11	181	2,0	6,3
13,60	0,10	181	2,0	6,3
13,62	0,11	181	2,0	6,3
13,65	0,11	181	2,0	6,3
13,67	0,08	181	2,0	6,3
13,69	0,07	181	2,0	6,3
13,72	0,06	181	2,0	6,3
13,74	0,05	181	2,0	6,3
13,77	0,03	181	2,0	6,3
13,79	0,02	181	2,0	6,3
13,82	0,02	181	2,0	6,3
13,84	0,02	181	2,0	6,3
13,87	0,03	181	2,0	6,3
13,89	0,03	181	2,0	6,3
13,91	0,03	181	2,0	6,3
13,94	0,04	181	2,0	6,3
13,96	0,03	181	2,0	6,3
13,99	0,02	181	2,0	6,3
14,01	0,02	181	2,0	6,3
14,04	0,02	181	2,0	6,3
14,06	0,02	181	2,0	6,3
14,09	0,01	181	2,0	6,3
14,11	0,01	181	2,0	6,3
14,13	0,00	181	2,0	6,3
14,16	0,03	181	2,0	6,3
14,18	0,03	181	2,0	6,3
14,21	0,04	181	2,0	6,3
14,23	0,04	181	2,0	6,3
14,26	0,04	181	2,0	6,3
14,28	0,03	181	2,0	6,3
14,31	0,02	181	2,0	6,3
14,33	0,02	181	2,0	6,3
14,35	0,03	181	2,0	6,3
14,38	0,03	181	2,0	6,3
14,40	0,05	181	2,0	6,3
14,43	0,06	181	2,0	6,3
14,45	0,06	181	2,0	6,3
14,48	0,07	181	2,0	6,3
14,50	0,07	181	2,0	6,3
14,52	0,06	181	2,0	6,3
14,55	0,07	181	2,0	6,3
14,57	0,08	181	2,0	6,3
14,60	0,07	181	2,0	6,3
14,62	0,09	181	2,0	6,3
14,65	0,08	181	2,0	6,3
14,67	0,08	181	2,0	6,3
14,70	0,09	181	2,0	6,3
14,72	0,12	181	2,0	6,3
14,74	0,13	181	2,0	6,3
14,77	0,16	181	2,0	6,3
14,79	0,18	181	2,0	6,3
14,82	0,20	181	2,0	6,3
14,84	0,20	181	2,0	6,3
14,87	0,20	181	2,0	6,3
14,89	0,19	181	2,0	6,3
14,92	0,20	181	2,0	6,3
14,94	0,22	181	2,0	6,3
14,96	0,21	181	2,0	6,3
14,99	0,23	181	2,0	6,3
15,01	0,29	181	2,0	6,3
15,04	0,30	181	2,0	6,3
15,06	0,31	181	2,0	6,3
15,09	0,35	181	2,0	6,3
15,11	0,37	181	2,0	6,3
15,14	0,37	181	2,0	6,3
15,16	0,40	181	2,0	6,3
15,18	0,42	181	2,0	6,3
15,21	0,43	181	2,0	6,3
15,23	0,43	181	2,0	6,3
15,26	0,47	181	2,0	6,3
15,28	0,49	181	2,0	6,3
15,31	0,51	181	2,0	6,3
15,33	0,55	181	2,0	6,3
15,36	0,58	181	2,0	6,3
15,38	0,58	181	2,0	6,3
15,40	0,59	181	2,0	6,3
15,43	0,61	181	2,0	6,3
15,45	0,63	181	2,0	6,3
15,48	0,66	181	2,0	6,3
15,50	0,68	181	2,0	6,3
15,53	0,71	181	2,0	6,3
15,55	0,72	181	2,0	6,3
15,57	0,75	181	2,0	6,3
15,60	0,78	181	2,0	6,3
15,62	0,80	181	2,0	6,3
15,65	0,83	181	2,0	6,3
15,67	0,86	181	2,0	6,3
15,70	0,89	181	2,0	6,3
15,72	0,92	181	2,0	6,3
15,75	0,92	181	2,0	6,3
15,77	0,95	181	2,0	6,3
15,79	0,97	181	2,0	6,3
15,82	0,97	181	2,0	6,3
15,84	1,00	181	2,0	6,3
15,87	1,07	181	2,0	6,3
15,89	1,10	181	2,0	6,3
15,92	1,13	181	2,0	6,3
15,94	1,19	181	2,0	6,3
15,97	1,22	181	2,0	6,3
15,99	1,24	181	2,0	6,3
16,01	1,27	181	2,0	6,3
16,04	1,31	181	2,0	6,3
16,06	1,33	181	2,0	6,3
16,09	1,34	181	2,0	6,3
16,11	1,40	181	2,0	6,3
16,14	1,43	181	2,0	6,3
16,16	1,46	181	2,0	6,3
16,19	1,51	181	2,0	6,3
16,21	1,56	181	2,0	6,3
16,23	1,58	181	2,0	6,3
16,26	1,61	181	2,0	6,3
16,28	1,65	181	2,0	6,3
16,31	1,68	181	2,0	6,3
16,33	1,72	181	2,0	6,3
16,36	1,74	181	2,0	6,3
16,38	1,77	181	2,0	6,3
16,41	1,80	181	2,0	6,3
16,43	1,86	181	2,0	6,3
16,45	1,89	181	2,0	6,3
16,48	1,93	181	2,0	6,3
16,50	1,99	181	2,0	6,3
16,53	2,03	181	2,0	6,3
16,55	2,05	181	2,0	6,3
16,58	2,09	181	2,0	6,3
16,60	2,12	181	2,0	6,3
16,63	2,14	181	2,0	6,3
16,65	2,17	181	2,0	6,3
16,67	2,20	181	2,0	6,3
16,70	2,23	181	2,0	6,3
16,72	2,27	181	2,0	6,3
16,75	2,31	181	2,0	6,3
16,77	2,35	181	2,0	6,3
16,80	2,39	181	2,0	6,3
16,82	2,43	181	2,0	6,3
16,84	2,47	181	2,0	6,3
16,87	2,50	181	2,0	6,3
16,89	2,53	181	2,0	6,3
16,92	2,55	181	2,0	6,3
16,94	2,56	181	2,0	6,3
16,97	2,60	181	2,0	6,3
16,99	2,61	181	2,0	6,3
17,02	2,62	181	2,0	6,3
17,04	2,66	181	2,0	6,3
17,06	2,67	181	2,0	6,3
17,09	2,65	181	2,0	6,3
17,11	2,65	181	2,0	6,3
17,14	2,65	181	2,0	6,3
17,16	2,62	181	2,0	6,3
17,19	2,62	181	2,0	6,3
17,21	2,60	181	2,0	6,3
17,24	2,59	181	2,0	6,3
17,26	2,57	181	2,0	6,3
17,28	2,57	181	2,0	6,3
17,31	2,54	181	2,0	6,3
17,33	2,51	181	2,0	6,3
17,36	2,48	181	2,0	6,3
17,38	2,43	181	2,0	6,3
17,41	2,38	181	2,0	6,3
17,43	2,33	181	2,0	6,3
17,46	2,27	181	2,0	6,3
17,48	2,21	181	2,0	6,3
17,50	2,16	181	2,0	6,3
17,53	2,08	181	2,0	6,3
17,55	2,03	181	2,0	6,3
17,58	1,98	181	2,0	6,3
17,60	1,93	181	2,0	6,3
17,63	1,86	181	2,0	6,3
17,65	1,81	181	2,0	6,3
17,68	1,74	181	2,0	6,3
17,70	1,66	181	2,0	6,3
17,72	1,59	181	2,0	6,3
17,75	1,52	181	2,0	6,3
17,77	1,45	181	2,0	6,3
17,80	1,39	181	2,0	6,3
17,82	1,34	181	2,0	6,3
17,85	1,28	181	2,0	6,3
17,87	1,23	181	2,0	6,3
17,89	1,21	181	2,0	6,3
17,92	1,15	181	2,0	6,3
17,94	1,10	181	2,0	6,3
17,97	1,05	181	2,0	6,3
17,99	0,99	181	2,0	6,3
18,02	0,91	181	2,0	6,3
18,04	0,86	181	2,0	6,3
18,07	0,81	181	2,0	6,3
18,09	0,76	181	2,0	6,3
18,11	0,71	181	2,0	6,3
18,14	0,70	181	2,0	6,3
